phase,config,compiler,opt,target_func,candidate_func,model,similarity
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,SSL_set_session_ticket_ext_cb,BinCola,-0.020930
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,SSL_set_session_ticket_ext_cb,CLAP,0.145024
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,SSL_set_session_ticket_ext_cb,jTrans,0.111269
baseline,openssl-1.0.1c-gcc-o3,gcc,o3,tls1_process_heartbeat,SSL_set_session_ticket_ext_cb,safe,0.097480
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,ssl3_handshake_mac,asm2vec,0.417182
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,ssl3_handshake_mac,BinCola,0.298398
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,ssl3_handshake_mac,CLAP,0.648876
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,ssl3_handshake_mac,jTrans,0.517047
baseline,openssl-1.0.1c-clang-o3,clang,o3,tls1_process_heartbeat,ssl3_handshake_mac,safe,0.513402
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_161b0,asm2vec,0.000000
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_161b0,BinCola,-0.208978
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_161b0,CLAP,0.025451
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_161b0,jTrans,0.295517
baseline,openssl-1.0.1c-clang-o2,clang,o2,tls1_process_heartbeat,FUN_161b0,safe,0.140341
baseline,openssl-1.0.1c-clang-o1,clang,o1,tls1_process_heartbeat,dtls1_shutdown,asm2vec,0.000000
